Number,Genebank,Genebank ID,Species code,Species,GPS,GPS,GPS,GPS,Place,Province,COUNTRY,Description,Date of collecton,Elevation,Ploidy
12,PI,607890,CHI,chillonanum (=tenellum),"-138,333",1350S,-72.25,07215W,D. Apurimac,P. Cotabambas,PER,"Quellomayo, 39 km SE of center of town of Cotabambas, ca. 10 km NW of town of Tambobamba, ca. 50 m E of road",3/21/1998,4050,NULL
13,PI,497996,AZN,fendleri arizonicum,"283,166",2819N,-107.35,10721W,E. Chihuahua,NULL,MEX,Along road from La Junta to Tomochic. On E side of Papigochic River,9/22/1982,2090,NULL
14,PI,570620,FLH,flahaultii,5.1,0506N,"-740,333",07402W,D. Cundinamarca,NULL,COL,"Farm called Caldera del Diablo of San Benito, field called Panama, 12km from deviation Zipaquira to Pacho & San Cayetano",7/30/1992,3400,NULL
15,PI,583306,FLH,flahaultii,"60,333",0602N,"-724,833",07229W,D. Boyaca,NULL,COL,"On Paramo de Pisba, 88 km from Belen to Chita",8/7/1992,3360,NULL
16,PI,597750,GND,gandarillasii,"-189,166",1855S,-65.1,06506W,D. Chuquisaca,P. Oropeza,BOL,"41 km N of Sucre (by posted road markers), on rd to Aiquile",2/25/1993,2031,NULL
17,PI,498158,GAB,garcia-barrigae,"80,833",0805N,"-732,166",07313W,D. Norte de Santander,P. Abreyo,COL,NULL,NULL,NULL,NULL
18,PI,365359,HCB,huancabambense,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
19,PI,607843,LPS,leptosepalum,26.85,2651N,"-101,266",10116W,E. Coahuila,NULL,MEX,"Sierra de La Gloria, 15km E of Monclova to Candela, then S to farm of Dr. Cardenas",9/21/1997,2070,NULL
20,PI,558434,LES,lesteri,17.55,1733N,"-974,333",09726W,E. Oaxaca,NULL,MEX,"On W side of Route 125, 3.4 km S of Route 190,just S of San Juan Teposcolul",9/16/1988,2250,NULL
21,PI,558435,LES,lesteri,"162,166",1613N,"-965,333",09632W,E. Oaxaca,NULL,MEX,"Along E side of Route 175, at km 134.1, about 50 m off road",9/19/1988,2390,NULL
22,PI,NULL,LBB,lobbianum,5.04,5.04 N,-75.19,75.19 W,D. Caldas,NULL,COL,"1.5 km E of road going to Nevado de Ruiz, on road from Manizales to Fresno.",NULL,3310,NULL
23,PI,607844,MCP,macropilosum,"239,833",2359N,"-997,333",09944W,E. Nuevo Leon,NULL,MEX,"slopes of Cerro El Viejo, along logging path up hill, ca.5 km by air ENE of town square of Zaragoza",9/24/1997,2750,NULL
24,PI,583298,MIN,minutifoliolum,"-14,333",0126S,"-784,166",07825W,P. Tungurahua,D. Banos,ECU,"0.5-1.5 km S of end of new stone road to Runtun, which ends 12 km from main east-west road through Banos",5/15/1991,2850,NULL
25,PI,230462,MSP,moscopanum,2.35,0221N,-76.3,07618W,D. Huila,P. La Plata,COL,"Paramo de Moscopan. San Marcos, km 32 on the road from Purace to Moscopan",7/21/1948,2920,NULL
26,PI,545825,NYR,nayaritense,"215,833",2135N,-102.85,10251W,E. Zacatecas,NULL,MEX,"Hwy 70, 12 km NW of Jalpa, 18 km along the track SE towards Tlachichila",9/27/1984,2460,NULL
27,PI,545820,NYR,nayaritense,21.65,2139N,"-103,133",10308W,E. Jalisco,NULL,MEX,"From highway 54, 10 km SW of Jalpa, 263 km along track towards Tlaltenango",9/28/1984,2400,NULL
28,PI,583307,ORO,orocense,"78,333",0750N,"-732,333",07314W,D. Norte de Santander,NULL,COL,"On Cerro Oroque, 40.2 km from Abrego, then 300m N from main road, before antennas. Growing in wet stream",8/19/1992,3100,NULL
29,PI,498213,ORP,orophilum,"-89,166",0855S,"-778,333",07750W,D. Ancash,P. Sihuas,PER,Near Quebrada Santa Cruz,NULL,3400,NULL
30,PI,570618,OTI,otites,"103,666",1022N,-72.8,07248W,D. Cesar,NULL,COL,"In El Cinco, 24.7 km from Manaure, in Sierra de Perija",8/12/1992,2450,NULL
31,PI,NULL,OXC,oxycarpum,18.14,18?14 N,-96.07,096?07 W,E. Veracruz,NULL,MEX,Pedragal de la Joya,NULL,2000,NULL
32,PI,498026,OXC,oxycarpum,"183,333",1820N,"-970,666",09704W,E. Puebla,NULL,MEX,Road from Tehuacan to Oaxaca turning off at Coxcatlan towards Zoquitlan,10/23/1983,2640,NULL
33,PI,561650,PCJ,paucijugum,-0.65,0039S,-78.5,07830W,P. Cotopaxi,D. Macachi,ECU,"In Parque Nacional Cotopaxi, 10.5 km east of Proyecto Llamas Station",6/3/1991,3610,NULL
34,PI,365365,PUR,piurana,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
35,PI,558227,RCH,rechei,"-292,166",2913S,-67.65,06739W,P. La Rioja,D. Chilecito,ARG,"Los Manzanos, N of Sanogasta",4/4/1990,1820,NULL
36,PI,607887,SAN,santolallae,"-131,833",1311S,-72.55,07233W,D. Cusco,P. Urubamba,PER,"along Inca train from Machu Pichu N to Winaywayna, about 1.5 km S of Winaywayna",3/21/1998,2650,NULL
37,PI,365363,SCB,scabrifolium,"-94,166",0925S,"-767,833",07647W,D. Huanuco,P. Llata,PER,NULL,NULL,3000,NULL
38,PI,558114,SIT,sitiens,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,NULL
39,PI,583320,SUC,sucubunense,"18,333",0150N,"-765,166",07631W,D. Cauca,NULL,COL,"At Impala, 300m from Rio Sucubun, about 9km SE from Valencia (2 hour walk from Valencia), in Valle de las Papas",7/18/1992,2950,NULL
40,PI,570642,TRN,tarnii,NULL,NULL,NULL,NULL,E. Hidalgo,NULL,MEX,"Route 85 from Zimapan to Tamazunchale, turning off at Trancas and going 6 km towards Nicolas Flores",10/17/1991,2300,NULL
41,PI,498048,TRN,tarnii,"208,666",2052N,"-992,666",09916W,E. Hidalgo,NULL,MEX,"From Las Trancas, hwy 85, Zimapan to Jacala",8/9/1983,2500,NULL
42,PI,473473,TND,tundalomense,NULL,NULL,NULL,NULL,P. Loja,C. Cuenca,ECU,Nudo De Portete     ??,NULL,3400,NULL
43,PI,546033,SPEC,species,-19.55,1933S,"-649,166",06455W,D. Chuquisaca,P. Yamparaez,BOL,"Miska Mayu, 10 km south of Tarabuco on road to Icla",4/9/1987,3000,NULL
44,PI,546029,UGT,ugentii,-19.6,1936S,"-646,166",06437W,D. Chuquisaca,P. Azurduy,BOL,37-38 km beyond the turn-off to Torre Pampa on the Tarabuco-Azurduy road,4/6/1987,3450,NULL
45,PI,498204,ACG,acroglossum,"-106,666",1040S,"-760,833",07605W,D. Pasco,P. Pasco,PER,Pampania,NULL,3500,NULL
46,PI,230495,ACS,acroscopicum,"-174,666",1728S,"-700,333",07002W,D. Tacna,P. Tarata,PER,Chivateria,3/21/1953,3450,NULL
47,PI,611096,AJH,ajanhuiri,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
48,PI,442701,BLG,blanco-galdosii,"-71,833",0711S,"-782,166",07813W,D. Cajamarca,NULL,PER,Pencalca el Mirador,NULL,NULL,NULL
49,PI,310989,CHQ,chiquidenum,"-69,666",0658S,"-785,666",07834W,D. Cajamarca,P. Cajamarca,PER,"Road from Hualgayo to Cajamarca, Chimola valley",3/29/1964,3350,NULL
50,PI,473459,CHQ,chiquidenum,NULL,NULL,NULL,NULL,D. Cajamarca,P. Contumaza,PER,Cerro Chungarran,NULL,3200,NULL
51,PI,310942,CHQ,chiquidenum,"-70,833",0705S,"-785,833",07835W,D. Cajamarca,P. Granja Porcon,PER,NULL,6/6/1963,NULL,NULL
52,PI,275202,CLR,clarum,NULL,NULL,NULL,NULL,D. Totonicapan,NULL,GTM,"22 miles N of Quezaltenango, near the Quezaltenango border",11/2/1958,3250,NULL
53,PI,611082,EDN,edinense,19.15,1909N,"-998,833",09953W,E. Mexico,NULL,MEX,"35.7km SW of Toluca (by posted road signs), shortly SW of entrance to Meson Viejo, 50m downslope, 300m N of Rt.134",10/20/1997,2700,NULL
54,PI,497999,AZN,fendleri arizonicum,"282,333",2814N,-107.45,10727W,E. Chihuahua,NULL,MEX,30 km along the road to San Juanito from the La Junta to Yepachic Hwy,9/22/1982,2040,NULL
55,PI,498000,AZN,fendleri arizonicum,"281,333",2808N,-107.5,10730W,E. Chihuahua,NULL,MEX,"Near Cebolla, 36 km along the road from the La Junta to Yepachic Hwy",9/22/1982,2060,NULL
56,PI,498001,AZN,fendleri arizonicum,"291,333",2908N,"-108,133",10808W,E. Chihuahua,NULL,MEX,About 5 km W of Madera on the road to Sirupa,9/23/1982,2050,NULL
57,PI,566752,FRN,fernandezianum,"-336,333",3338S,"-788,666",07852W,P. Juan Fernandez,NULL,CHL,150 from Experimental Garden at CONAF (Corporation NationalForest) Revegeta,1/13/1991,NULL,NULL
58,PI,566755,FRN,fernandezianum,NULL,NULL,NULL,NULL,P. Juan Fernandez,NULL,CHL,NULL,NULL,NULL,NULL
59,PI,566756,FRN,fernandezianum,NULL,NULL,NULL,NULL,P. Juan Fernandez,NULL,CHL,NULL,NULL,NULL,NULL
60,PI,498166,FLH,flahaultii,"50,333",0502N,-74,07400W,D. Cundinamarca,P. Zipaguini,COL,NULL,NULL,NULL,NULL
61,PI,583317,FLH,flahaultii,NULL,NULL,NULL,NULL,D. Boyaca,NULL,COL,"Cluta, Paramo de la Cana",7/26/1981,NULL,NULL
62,PI,597751,GND,gandarillasii,-18.5,1830S,"-651,666",06510W,D. Cochabamba,P. Campero,BOL,"29 km S of Aiquile, on road to Sucre",3/4/1993,2241,NULL
63,PI,498245,IMT,immite,"-81,166",0807S,"-790,333",07902W,D. La Libertad,P. Otuzco,PER,Between Casmiche and  San Chicon  ??,NULL,3700,NULL
64,PI,365331,IMT,immite,"-98,666",0952S,"-777,333",07744W,D. Ancash,P. Cerro Jutcapampa,PER,Near Huayan,NULL,2400,NULL
65,PI,568985,IRS,irosinum,NULL,NULL,NULL,NULL,D. Cajamarca,P. Cutervo,PER,"Cerro Angurra, near Cutervo",6/5/1977,2600,NULL
66,PI,583305,IRS,irosinum,NULL,NULL,NULL,NULL,D. Cajamarca,P. Cutervo,PER,Coronilla,NULL,2800,NULL
67,PI,498253,LGL,lignicaule,"-133,333",1320S,-71.95,07157W,D. Cusco,P. Calca,PER,Intihuatana,NULL,2800,NULL
68,PI,208780,LGC,longiconicum,"94,666",0928N,"-842,166",08413W,P. Cartago,NULL,CRI,Isle Bonita,NULL,NULL,NULL
69,PI,604093,LGC,longiconicum,"103,166",1019N,-84.8,08448W,P. Alajuela,NULL,CRI,"Monteverde Cloud Forest Preserve, division point of provinces A, P and G",11/30/1996,1830,48
70,PI,604095,LGC,longiconicum,"100,833",1005N,"-840,666",08404W,P. Heredia,NULL,CRI,Parque Nacional Braulio Carillo sector Cerro Chompipes,12/10/1996,2200,NULL
71,PI,558090,LYC,lycopersicoides,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,NULL
72,PI,558091,LYC,lycopersicoides,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,NULL
73,PI,NULL,LYC,lycopersicoides,-17.46,17?46 S,-69.57,069?57 W,D. Tacna,P. Tacna,PER,"Near Causuri, 1 km from Palca.",NULL,2890,NULL
74,PI,607845,MCP,macropilosum,"239,833",2359N,"-997,166",09943W,E. Nuevo Leon,NULL,MEX,"slopes of Cerro El Viejo, along logging path up hill, ca.6 km by air ENE of town square of Zaragoza",9/24/1997,2850,NULL
75,PI,245087,MAG,maglia,"-329,666",3258S,"-715,333",07132W,P. Valparaiso,D. Vina del Mar,CHL,Between Vi̱a del Mar and Concon,1/5/1958,NULL,NULL
76,PI,558316,MAG,maglia,-32.55,3233S,"-714,333",07126W,P. Valparaiso,D. Petorca,CHL,"Ca. 500 m S of beach at Zapallar, at house of Rosa Perez",3/2/1991,10,NULL
77,PI,607884,MRN,marinasense,-13.6,1336S,"-718,833",07153W,D. Cusco,P. Quispicanchis,PER,"S of Cusco, E of main road through town, direction Granja Kaira San Geronimo to km7.5, 300m uphill",3/3/1998,3550,NULL
78,PI,619119,MRL,morelliforme,"196,166",1937N,-97.05,09703W,E. Veracruz,NULL,MEX,"On road from Perote to Jalapa just E of Toxtlacoaya, 3.6 km W of Las Vigas, 20 m off S side of road.",10/2/1997,2300,NULL
79,PI,545720,MRL,morelliforme,"183,333",1820N,"-970,666",09704W,E. Puebla,NULL,MEX,"Road from Tehuacan to Oaxaca, turning off at Coxcatlan, 20 km to Zoquitlan",10/23/1983,2640,NULL
80,PI,545775,MRL,morelliforme,16.5,1630N,"-923,166",09219W,E. Chiapas,NULL,MEX,Hwy 190 from San Cristobal de las Casas to Comitan,10/23/1984,2400,NULL
81,PI,498159,MSP,moscopanum,2.4,0224N,-76.45,07627W,D. Cauca,NULL,COL,Coconuco,NULL,NULL,NULL
82,PI,570636,ORO,orocense,7.85,0751N,"-732,333",07314W,D. Norte de Santander,NULL,COL,"On Cerro Oroque (also known as Jurisdicciones), 46 km from Abrego, growing",8/17/1992,3350,NULL
83,PI,498209,ORP,orophilum,"-92,666",0916S,"-772,666",07716W,D. Ancash,P. Huari,PER,"Acopalca, in route from Huari to San Luis",NULL,3200,NULL
84,PI,498212,ORP,orophilum,"-91,666",0910S,"-776,666",07740W,D. Ancash,P. Yungay,PER,Maria Huayta,NULL,3750,NULL
85,PI,545776,OXC,oxycarpum,"174,666",1728N,-96.5,09630W,E. Oaxaca,NULL,MEX,21.8 km N of Ixtlan de Juarez on Hwy 175 to Tuxtepec,10/16/1984,2870,NULL
86,PI,545779,OXC,oxycarpum,19.55,1933N,"-971,666",09710W,E. Veracruz,NULL,MEX,"Turning off route 140 between Perote and Las Vigas, S from Sierra de Agua",11/1/1984,2840,NULL
87,PI,587114,PRM,paramoense,"87,833",0847N,-70.8,07048W,E. Merida,NULL,VEN,"50-200 m S of S end of Laguna Negra, 5.5. km ESE (by air) from Apartaderos",9/2/1992,3480,NULL
88,PI,604202,PRM,paramoense,8.75,0845N,"-708,666",07052W,E. Merida,NULL,VEN,"growing on SW side of Quebrada Saisay, ca. 200 m from middle of valley",9/7/1992,3500,NULL
89,PI,583299,PCJ,paucijugum,-0.6,0036S,"-786,333",07838W,P. Cotopaxi,D. Cotopaxi,ECU,"In Parque Nacional Cotopaxi, 1.3 km east of center of fenced in deer (venad",5/21/1991,3630,NULL
90,PI,561651,PCJ,paucijugum,-1.3,0118S,"-787,666",07846W,P. Cotopaxi,D. Simiatug,ECU,30.5 km southeast of Ambato on road to Guaranda,6/5/1991,3580,NULL
91,PI,590922,PCS,paucissectum,NULL,NULL,NULL,NULL,D. Piura,P. Huancabamba,PER,Cashcapampa,NULL,NULL,NULL
92,PI,595478,SMB,sambucinum,20.8,2048N,"-100,433",10026W,E. Queretaro,NULL,MEX,"Foot-hills of El Buey, mountain",8/23/1993,2050,NULL
93,PI,607894,SND,sandemanii,-16.4,1624S,"-714,333",07126W,D. Arequipa,P. Arequipa,PER,"E side Quebrada Honda, 25m from base, 100m upstream N from Arequipa-Chiguata road, at point 59.8 km ENE of PanAmHighway",4/9/1998,2750,NULL
94,PI,607895,SND,sandemanii,"-162,833",1617S,"-715,166",07131W,D. Arequipa,P. Arequipa,PER,"18 km N of main town square (Plaza de Armas) of Arequipa on road to Cabreria, then 100-150 m W or road",4/9/1998,2600,NULL
95,PI,558115,SIT,sitiens,NULL,NULL,NULL,NULL,NULL,NULL,CHL,NULL,NULL,NULL,NULL
96,PI,590926,TUQ,tuquerrense,NULL,NULL,NULL,NULL,D. Narino,P. Cumbal,COL,"Tambillo, at Llano Grande, farm of Billy Bert",8/29/1980,NULL,NULL
97,PI,619114,VLR,velardei,-13.5,1330S,-72.8,07248W,D. Apurimac,P. Abancay,PER,"Marchancay, 5 km walk NW uphill of Cachora",3/22/1998,3140,NULL
98,PI,614703,YUN,yungasense,-16.4,1624S,"-676,333",06738W,D. La Paz,P. Nor Yungas,BOL,"1.5km downstream E of Rio Tamampaya, after hanging bridge in Puente Villa, on river floodplain",3/20/1993,1243,NULL
99,GLKS,32830,ACH,achacachense,NULL,NULL,NULL,NULL,La Paz,NULL,BOL,"Between Achacachi & Sorata, ~ 2km and ~3km towards Sorata from highest point on road.",NULL,3900,NULL
100,GLKS,32436,ACS,acroscopicum,-15.2,1512S,"-729,333",07256W,D. Arequipa,P. Cotahuasi,PER,"Ayachani, above Cotahuasi",NULL,3300,NULL
101,GLKS,32292,AGF,agrimonifolium,"168,166",1649N,"-925,833",09235W,E. Chiapas,NULL,MEX,Road from San Cristobal de las Casas to Cerro Zontehuitz,10/20/1984,2750,NULL
102,GLKS,35297,ABZ,albornozii,-4,0400S,"-792,833",07917W,P. Loja,D. Catamayo,ECU,300-500 m south of old road from Loja-Catamayo,5/1/1991,2350,NULL
103,GLKS,35298,ABZ,albornozii,-4,0400S,"-792,666",07916W,P. Loja,D. Catamayo,ECU,"On old road from Loja to Catamayo, on south slope of Cerro Villonaco",5/1/1991,2630,NULL
104,GLKS,32282,AMB,ambosinum,"-82,666",0816S,-77.85,07751W,D. Ancash,P. Yana-Cocha,PER,Near Conchucos,NULL,3500,NULL
105,GLKS,35299,AMB,ambosinum,NULL,NULL,NULL,NULL,D. Cusco,NULL,PER,Chacan,1/14/1966,NULL,NULL
106,GLKS,1638,ADR,andreanum,1.2,0112N,"-769,166",07655W,D. Cauca,NULL,COL,"Comisaria de Putumayo, valley of Sibundoy, 1.5 km from Santiago",8/30/1965,2100,NULL
107,GLKS,1639,ADR,andreanum,-0.5333,0032S,"-779,166",07755W,P. Napo,D. Cosanga,ECU,"About 2 hr. walk west of Baeza-Tena Road, south of Rio Bermejo",6/2/1991,2100,NULL
108,GLKS,5303,ADR,andreanum,"-21,666",0210S,"-784,166",07825W,P. Morona Santiago,NULL,ECU,"About 16 km NW of San Vicente, on old footpath on W side of Rio Upano",6/19/1991,2650,NULL
109,GLKS,30082,ARP,aracc-papa,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
110,GLKS,30081,ARP,aracc-papa,NULL,NULL,NULL,NULL,D. Cusco,NULL,PER,San Sebastian,NULL,NULL,NULL
111,GLKS,32832,ARZ,arnezii,-19.6,1936S,-64.65,06439W,D. Chuquisaca,P. Azurduy,BOL,On north edge of Abra Kasa going towards Tarabuco.  59 km from Azurduy,4/1/1986,2600,NULL
112,GLKS,32833,ARZ,arnezii,-19.55,1933S,-64.65,06439W,D. Chuquisaca,P. Azurduy,BOL,26 km from Abra Kasa (85 km from Azurduy) on the road to Tarabuco,4/1/1986,3200,NULL
113,GLKS,32834,ARZ,arnezii,"-195,666",1934S,"-645,333",06432W,D. Chuquisaca,P. Azurduy,BOL,About 5 km before San Pedro on the road from Corralon Mayu,4/8/1987,2000,NULL
114,GLKS,32836,AST,astleyi,"-194,333",1926S,-65.4,06524W,D. Potosi,P. Saavedra,BOL,"78 km from Potosi on road to Sucre, 34 km beyond Betanzos",3/22/1986,3280,NULL
115,GLKS,35309,BLG,blanco-galdosii,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
116,GLKS,2717,BST,brachistotrichum,NULL,NULL,NULL,NULL,NULL,NULL,MEX,NULL,NULL,NULL,NULL
117,GLKS,32801,BST,brachistotrichum,NULL,NULL,NULL,NULL,E. Aguascalientes,NULL,MEX,Collected between Aguascalientes and Calvillo,NULL,NULL,NULL
118,GLKS,32714,BST,brachistotrichum,"291,333",2908N,"-106,083",10605W,E. Chihuahua,NULL,MEX,"Majalca, 40 miles NW of Chihuahua, near the village",8/14/1958,2150,24
119,GLKS,35399,DPH,bulbocastanum dolichophyllum,"190,166",1901N,-99.1,09906W,E. Morelos,NULL,MEX,"Km 90 on railway from Mexico City to Cuernavaca, 0.5 km above El Parque",10/5/1958,2300,NULL
120,GLKS,35322,PTT,bulbocastanum partitum,"151,666",1510N,"-915,166",09131W,D. Huehuetenango,NULL,GTM,"Road from Huehuetenango to Quezaltenango, 5 km S of Malacatancito",10/31/1958,1800,NULL
121,GLKS,35323,PTT,bulbocastanum partitum,"161,666",1610N,-92.2,09212W,E. Chiapas,NULL,MEX,"9.4 km S of Route 190 (from near Teopisca), to Las Rosas",9/27/1988,1720,NULL
122,GLKS,5328,CJM,cajamarquense,"-69,666",0658S,"-791,833",07911W,D. Cajamarca,P. Cajamarca,PER,Above Chiquiden on the highway from Cajamarca to Chiclayo,3/30/1964,2800,NULL
123,GLKS,32175,SPEC,species,"-157,833",1547S,"-686,666",06840W,D. La Paz,P. Larecaja,BOL,"Near Mines of Martinsito, District of Sorata on the slopes of Illampu",3/9/1978,4000,NULL
124,GLKS,99,CPH,cardiophyllum,NULL,NULL,NULL,NULL,E. Michoacan,NULL,MEX,NULL,NULL,NULL,24
125,GLKS,30162,CHC,chacoense,NULL,NULL,NULL,NULL,P. Tucuman,NULL,ARG,NULL,NULL,NULL,NULL
126,GLKS,30161,CHC,chacoense,NULL,NULL,NULL,NULL,NULL,NULL,ARG,North of Argentina,NULL,NULL,NULL
127,GLKS,30180,CHC,chacoense,NULL,NULL,NULL,NULL,NULL,NULL,ARG,NULL,NULL,NULL,NULL
128,GLKS,30125,CHA,chaucha,NULL,NULL,NULL,NULL,NULL,NULL,PER,NULL,NULL,NULL,NULL
129,GLKS,30115,CHA,chaucha,NULL,NULL,NULL,NULL,D. Cusco,NULL,PER,Cusco,NULL,NULL,NULL
130,GLKS,30120,CHA,chaucha,NULL,NULL,NULL,NULL,D. Cusco,NULL,PER,Cusco,NULL,NULL,NULL
131,GLKS,30118,CHA,chaucha,NULL,NULL,NULL,NULL,D. Cusco,NULL,PER,Cusco,NULL,NULL,NULL
132,GLKS,30119,CHA,chaucha,NULL,NULL,NULL,NULL,D. Cusco,NULL,PER,Cusco,NULL,NULL,NULL
133,GLKS,32378,CLR,clarum,NULL,NULL,NULL,NULL,D. Totonicapan,NULL,GTM,Between Totonicapan and Los Encuentros,10/19/1956,3000,NULL
134,GLKS,35433,COP,coelestipetalum,NULL,NULL,NULL,NULL,D. Apurimac,NULL,PER,NULL,NULL,NULL,NULL
135,GLKS,35434,COP,coelestipetalum,NULL,NULL,NULL,NULL,D. Apurimac,P. Cotabambas,PER,Between Cole and  Colesniyoc,NULL,3600,NULL
136,GLKS,31536,COL,colombianum,NULL,NULL,NULL,NULL,NULL,NULL,COL,NULL,NULL,NULL,48
137,GLKS,1530,spec,species,NULL,NULL,NULL,NULL,NULL,NULL,COL,NULL,NULL,NULL,NULL
138,GLKS,5343,COL,colombianum,0.1333,0008N,"-779,666",07758W,P. Pichincha,D. Nevado Cayambe,ECU,"By trail on west end of Laguna San Marcos, near south end of lake",4/18/1991,3450,NULL
139,GLKS,35340,MLM,commersonii malmeanum,-23,2300S,-60,06000W,D. Boqueron,d. Pedro P. Pena,PRY,Chaco,NULL,NULL,NULL
140,GLKS,31620,CUR,curtilobum,NULL,NULL,NULL,NULL,NULL,NULL,ECU,Cuenca,NULL,NULL,NULL
141,GLKS,31628,CUR,curtilobum,NULL,NULL,NULL,NULL,NULL,NULL,BOL,NULL,NULL,NULL,NULL
142,GLKS,35346,CUR,curtilobum,NULL,NULL,NULL,NULL,NULL,NULL,COL,NULL,NULL,NULL,NULL
143,GLKS,31627,CUR,curtilobum,NULL,NULL,NULL,NULL,D. Cusco,NULL,PER,Pancartambo,NULL,NULL,NULL
144,GLKS,32882,DDS,doddsii,"-177,333",1744S,-65.1,06506W,D. Cochabamba,P. Carrasco,BOL,2 km from Totora on road to Sucre. About 300 m towards Sucre,3/4/1986,2900,NULL
145,GLKS,32883,DDS,doddsii,"-179,833",1759S,"-651,166",06507W,D. Cochabamba,P. Campero,BOL,24 km north of Aiquile on road to Totora.  9 km before crossing Rio Mizque,3/24/1986,2260,NULL
146,GLKS,32880,DDS,doddsii,"-186,666",1840S,"-651,666",06510W,D. Cochabamba,P. Carrasco,BOL,"Km 192, road from Sucre to Epizana, 40 km from Aiquile",3/3/1971,2600,NULL
147,GLKS,32342,DCM,dolichocremastrum,-9.4,0924S,"-770,333",07702W,D. Ancash,P. Huari,PER,"Tambillo, before the bridge on the Cahuish river",NULL,3900,NULL
148,GLKS,35348,DCM,dolichocremastrum,"-90,833",0905S,"-770,166",07701W,D. Ancash,P. San Ant.Raimondi,PER,"Vecinity of  Cerro Coto , Ccaccas near Llamellin",NULL,4000,NULL
149,GLKS,35349,DCM,dolichocremastrum,"-95,166",0931S,"-772,333",07714W,D. Ancash,P. Huari,PER,"San Marcos, in route from San Luis",NULL,3900,NULL
150,GLKS,25493,EDN,edinense,"191,666",1910N,-99.8,09948W,E. Mexico,NULL,MEX,"Parq.Nac. Nevado de Tolu, on Rt.10 at Loma Alta, 1,2 km S of La Puerta (on Rt.124), E side road",10/20/1997,3330,NULL
151,GLKS,25492,EDN,edinense,"191,833",1911N,-99.65,09939W,E. Mexico,NULL,MEX,"2,4 km SW of Zacango (zoo) at SW end, on paved and then dirt road ascending Nevado de Toluca",10/27/1997,2840,NULL
152,GLKS,25494,EDN,edinense,"191,833",1911N,"-996,666",09940W,E. Mexico,NULL,MEX,"3,5 km SW of Zacango (zoo) at SW end, on paved and then dirt road ascending Nevado de Toluca",10/27/1997,2800,NULL
153,GLKS,35331,EHR,ehrenbergii,"214,166",2125N,-102.65,10239W,E. Jalisco,NULL,MEX,201 km from Guadalajara towards San Luis Potosi,8/31/1949,1850,NULL
154,GLKS,35332,EHR,ehrenbergii,22.15,2209N,"-100,983",10059W,E. San Luis Potosi,NULL,MEX,"Hills S of San Luis Potosi, 322 km from Guadalajara",8/31/1949,2200,NULL
